'Elapsed time','Abdomen_3'
'0:00.000',22.100
'0:00.001',21.800
'0:00.002',21.300
'0:00.003',20.300
'0:00.004',18.600
'0:00.005',16.000
'0:00.006',12.700
'0:00.007',9.000
'0:00.008',5.400
'0:00.009',2.300
'0:00.010',0.000
'0:00.011',-1.600
'0:00.012',-2.500
'0:00.013',-2.900
'0:00.014',-2.700
'0:00.015',-1.900
'0:00.016',-0.700
'0:00.017',0.700
'0:00.018',1.600
'0:00.019',1.500
'0:00.020',0.200
'0:00.021',-2.100
'0:00.022',-4.700
'0:00.023',-6.900
'0:00.024',-8.400
'0:00.025',-9.300
'0:00.026',-9.900
'0:00.027',-10.600
'0:00.028',-11.300
'0:00.029',-11.900
'0:00.030',-12.200
'0:00.031',-11.900
'0:00.032',-11.300
'0:00.033',-10.600
'0:00.034',-10.300
'0:00.035',-10.500
'0:00.036',-11.400
'0:00.037',-12.800
'0:00.038',-14.300
'0:00.039',-15.500
'0:00.040',-16.000
'0:00.041',-15.500
'0:00.042',-14.100
'0:00.043',-12.200
'0:00.044',-10.300
'0:00.045',-8.900
'0:00.046',-8.300
'0:00.047',-8.300
'0:00.048',-8.600
'0:00.049',-8.800
'0:00.050',-8.600
'0:00.051',-8.000
'0:00.052',-7.100
'0:00.053',-5.900
'0:00.054',-4.700
'0:00.055',-3.300
'0:00.056',-2.100
'0:00.057',-1.000
'0:00.058',-0.200
'0:00.059',0.300
'0:00.060',0.500
'0:00.061',0.600
'0:00.062',0.700
'0:00.063',1.000
'0:00.064',1.400
'0:00.065',2.000
'0:00.066',2.700
'0:00.067',3.200
'0:00.068',3.500
'0:00.069',3.400
'0:00.070',3.000
'0:00.071',2.200
'0:00.072',1.400
'0:00.073',0.600
'0:00.074',0.100
'0:00.075',-0.300
'0:00.076',-0.500
'0:00.077',-0.500
'0:00.078',-0.400
'0:00.079',-0.100
'0:00.080',0.300
'0:00.081',0.900
'0:00.082',1.400
'0:00.083',1.600
'0:00.084',1.400
'0:00.085',1.000
'0:00.086',0.500
'0:00.087',0.200
'0:00.088',0.300
'0:00.089',0.700
'0:00.090',1.300
'0:00.091',1.700
'0:00.092',1.800
'0:00.093',1.400
'0:00.094',0.800
'0:00.095',0.300
'0:00.096',-0.100
'0:00.097',-0.200
'0:00.098',0.000
'0:00.099',0.200
'0:00.100',0.500
'0:00.101',0.900
'0:00.102',1.400
'0:00.103',2.000
'0:00.104',2.700
'0:00.105',3.200
'0:00.106',3.500
'0:00.107',3.300
'0:00.108',2.800
'0:00.109',2.200
'0:00.110',1.500
'0:00.111',1.100
'0:00.112',0.800
'0:00.113',0.800
'0:00.114',0.800
'0:00.115',0.800
'0:00.116',0.800
'0:00.117',0.800
'0:00.118',1.000
'0:00.119',1.200
'0:00.120',1.600
'0:00.121',2.100
'0:00.122',2.600
'0:00.123',3.000
'0:00.124',3.200
'0:00.125',3.200
'0:00.126',3.000
'0:00.127',2.700
'0:00.128',2.400
'0:00.129',2.500
'0:00.130',2.800
'0:00.131',3.400
'0:00.132',4.000
'0:00.133',4.200
'0:00.134',3.900
'0:00.135',3.400
'0:00.136',2.900
'0:00.137',2.800
'0:00.138',3.200
'0:00.139',4.000
'0:00.140',4.900
'0:00.141',5.300
'0:00.142',5.000
'0:00.143',4.000
'0:00.144',2.900
'0:00.145',1.800
'0:00.146',1.300
'0:00.147',1.100
'0:00.148',1.200
'0:00.149',1.300
'0:00.150',1.300
'0:00.151',1.200
'0:00.152',1.300
'0:00.153',1.400
'0:00.154',1.600
'0:00.155',1.500
'0:00.156',1.100
'0:00.157',0.500
'0:00.158',0.000
'0:00.159',-0.200
'0:00.160',-0.100
'0:00.161',0.100
'0:00.162',0.200
'0:00.163',0.300
'0:00.164',0.500
'0:00.165',1.100
'0:00.166',2.400
'0:00.167',4.000
'0:00.168',5.600
'0:00.169',6.800
'0:00.170',7.500
'0:00.171',7.900
'0:00.172',8.300
'0:00.173',9.100
'0:00.174',10.500
'0:00.175',12.600
'0:00.176',15.200
'0:00.177',18.200
'0:00.178',21.200
'0:00.179',23.700
'0:00.180',25.000
'0:00.181',24.800
'0:00.182',23.000
'0:00.183',20.000
'0:00.184',16.600
'0:00.185',13.400
'0:00.186',10.700
'0:00.187',8.300
'0:00.188',5.800
'0:00.189',3.000
'0:00.190',-0.100
'0:00.191',-3.000
'0:00.192',-5.100
'0:00.193',-6.000
'0:00.194',-5.800
'0:00.195',-4.800
'0:00.196',-3.600
'0:00.197',-2.600
'0:00.198',-2.000
'0:00.199',-1.600
'0:00.200',-1.200
'0:00.201',-0.300
'0:00.202',1.200
'0:00.203',3.200
'0:00.204',5.200
'0:00.205',6.800
'0:00.206',7.500
'0:00.207',7.400
'0:00.208',6.500
'0:00.209',5.300
'0:00.210',4.000
'0:00.211',3.100
'0:00.212',2.800
'0:00.213',2.900
'0:00.214',3.500
'0:00.215',4.200
'0:00.216',4.800
'0:00.217',5.100
'0:00.218',5.100
'0:00.219',4.800
'0:00.220',4.600
'0:00.221',4.700
'0:00.222',5.300
'0:00.223',6.300
'0:00.224',7.200
'0:00.225',7.900
'0:00.226',8.100
'0:00.227',8.100
'0:00.228',8.000
'0:00.229',8.000
'0:00.230',7.900
'0:00.231',7.900
'0:00.232',7.700
'0:00.233',7.400
'0:00.234',6.900
'0:00.235',6.400
'0:00.236',6.000
'0:00.237',5.900
'0:00.238',6.100
'0:00.239',6.400
'0:00.240',6.600
'0:00.241',6.600
'0:00.242',6.300
'0:00.243',5.500
'0:00.244',4.600
'0:00.245',3.800
'0:00.246',3.300
'0:00.247',3.300
'0:00.248',3.700
'0:00.249',4.300
'0:00.250',4.900
'0:00.251',5.300
'0:00.252',5.400
'0:00.253',5.300
'0:00.254',5.100
'0:00.255',4.800
'0:00.256',4.400
'0:00.257',4.000
'0:00.258',3.900
'0:00.259',4.300
'0:00.260',5.100
'0:00.261',6.400
'0:00.262',7.700
'0:00.263',8.700
'0:00.264',9.100
'0:00.265',9.000
'0:00.266',8.500
'0:00.267',8.200
'0:00.268',8.300
'0:00.269',8.800
'0:00.270',9.400
'0:00.271',9.800
'0:00.272',9.900
'0:00.273',9.500
'0:00.274',9.100
'0:00.275',8.800
'0:00.276',9.000
'0:00.277',9.600
'0:00.278',10.400
'0:00.279',11.400
'0:00.280',12.200
'0:00.281',12.800
'0:00.282',13.000
'0:00.283',12.800
'0:00.284',12.300
'0:00.285',11.500
'0:00.286',10.700
'0:00.287',9.800
'0:00.288',9.000
'0:00.289',8.200
'0:00.290',7.500
'0:00.291',7.000
'0:00.292',6.900
'0:00.293',7.300
'0:00.294',8.100
'0:00.295',9.100
'0:00.296',10.100
'0:00.297',10.800
'0:00.298',11.000
'0:00.299',10.800
'0:00.300',10.300
'0:00.301',9.600
'0:00.302',8.800
'0:00.303',7.900
'0:00.304',7.200
'0:00.305',6.700
'0:00.306',6.500
'0:00.307',6.600
'0:00.308',6.800
'0:00.309',7.100
'0:00.310',7.300
'0:00.311',7.300
'0:00.312',7.200
'0:00.313',7.100
'0:00.314',6.800
'0:00.315',6.400
'0:00.316',5.900
'0:00.317',5.200
'0:00.318',4.600
'0:00.319',4.200
'0:00.320',4.000
'0:00.321',4.000
'0:00.322',4.000
'0:00.323',3.900
'0:00.324',3.700
'0:00.325',3.400
'0:00.326',3.100
'0:00.327',2.900
'0:00.328',2.900
'0:00.329',3.200
'0:00.330',3.500
'0:00.331',4.100
'0:00.332',4.600
'0:00.333',5.100
'0:00.334',5.200
'0:00.335',5.100
'0:00.336',4.600
'0:00.337',4.000
'0:00.338',3.500
'0:00.339',3.300
'0:00.340',3.200
'0:00.341',3.100
'0:00.342',2.800
'0:00.343',2.300
'0:00.344',1.800
'0:00.345',1.500
'0:00.346',1.500
'0:00.347',1.700
'0:00.348',1.900
'0:00.349',1.700
'0:00.350',1.000
'0:00.351',-0.200
'0:00.352',-1.400
'0:00.353',-2.100
'0:00.354',-2.200
'0:00.355',-1.600
'0:00.356',-0.700
'0:00.357',0.000
'0:00.358',0.400
'0:00.359',0.200
'0:00.360',-0.200
'0:00.361',-0.500
'0:00.362',-0.500
'0:00.363',-0.100
'0:00.364',0.400
'0:00.365',1.000
'0:00.366',1.300
'0:00.367',1.500
'0:00.368',1.700
'0:00.369',1.800
'0:00.370',1.800
'0:00.371',1.700
'0:00.372',1.500
'0:00.373',1.200
'0:00.374',1.000
