'Elapsed time','Abdomen_4'
'0:00.000',32.600
'0:00.001',35.401
'0:00.002',37.601
'0:00.003',39.001
'0:00.004',39.501
'0:00.005',39.301
'0:00.006',38.801
'0:00.007',38.201
'0:00.008',37.501
'0:00.009',36.601
'0:00.010',35.301
'0:00.011',33.501
'0:00.012',31.600
'0:00.013',30.000
'0:00.014',29.100
'0:00.015',29.100
'0:00.016',29.600
'0:00.017',30.100
'0:00.018',29.700
'0:00.019',27.800
'0:00.020',24.100
'0:00.021',18.800
'0:00.022',12.600
'0:00.023',6.200
'0:00.024',0.100
'0:00.025',-4.900
'0:00.026',-8.700
'0:00.027',-11.200
'0:00.028',-12.700
'0:00.029',-13.400
'0:00.030',-13.600
'0:00.031',-13.500
'0:00.032',-13.500
'0:00.033',-13.900
'0:00.034',-14.800
'0:00.035',-16.300
'0:00.036',-18.500
'0:00.037',-20.900
'0:00.038',-23.300
'0:00.039',-25.000
'0:00.040',-25.900
'0:00.041',-25.800
'0:00.042',-25.000
'0:00.043',-24.200
'0:00.044',-23.600
'0:00.045',-23.300
'0:00.046',-23.200
'0:00.047',-22.800
'0:00.048',-21.900
'0:00.049',-20.600
'0:00.050',-19.000
'0:00.051',-17.300
'0:00.052',-15.800
'0:00.053',-14.300
'0:00.054',-12.700
'0:00.055',-11.000
'0:00.056',-9.500
'0:00.057',-8.500
'0:00.058',-8.200
'0:00.059',-8.200
'0:00.060',-8.300
'0:00.061',-7.800
'0:00.062',-6.900
'0:00.063',-5.900
'0:00.064',-5.300
'0:00.065',-5.500
'0:00.066',-6.500
'0:00.067',-7.600
'0:00.068',-8.300
'0:00.069',-8.100
'0:00.070',-7.300
'0:00.071',-6.300
'0:00.072',-5.800
'0:00.073',-6.100
'0:00.074',-7.000
'0:00.075',-7.900
'0:00.076',-8.400
'0:00.077',-8.300
'0:00.078',-7.900
'0:00.079',-7.400
'0:00.080',-7.000
'0:00.081',-6.800
'0:00.082',-6.600
'0:00.083',-6.300
'0:00.084',-6.100
'0:00.085',-6.100
'0:00.086',-6.400
'0:00.087',-6.900
'0:00.088',-7.100
'0:00.089',-6.800
'0:00.090',-6.200
'0:00.091',-5.500
'0:00.092',-5.200
'0:00.093',-5.300
'0:00.094',-5.800
'0:00.095',-6.200
'0:00.096',-6.200
'0:00.097',-5.900
'0:00.098',-5.400
'0:00.099',-5.100
'0:00.100',-5.100
'0:00.101',-5.300
'0:00.102',-5.300
'0:00.103',-5.000
'0:00.104',-4.300
'0:00.105',-3.700
'0:00.106',-3.500
'0:00.107',-3.800
'0:00.108',-4.600
'0:00.109',-5.600
'0:00.110',-6.200
'0:00.111',-6.300
'0:00.112',-5.800
'0:00.113',-4.800
'0:00.114',-3.700
'0:00.115',-2.900
'0:00.116',-2.400
'0:00.117',-2.300
'0:00.118',-2.400
'0:00.119',-2.300
'0:00.120',-1.800
'0:00.121',-0.800
'0:00.122',0.300
'0:00.123',1.300
'0:00.124',1.600
'0:00.125',1.300
'0:00.126',0.500
'0:00.127',-0.200
'0:00.128',-0.600
'0:00.129',-0.300
'0:00.130',0.300
'0:00.131',1.000
'0:00.132',1.500
'0:00.133',1.600
'0:00.134',1.300
'0:00.135',0.800
'0:00.136',0.200
'0:00.137',-0.100
'0:00.138',-0.300
'0:00.139',-0.100
'0:00.140',0.100
'0:00.141',0.400
'0:00.142',0.600
'0:00.143',0.700
'0:00.144',0.700
'0:00.145',0.500
'0:00.146',0.400
'0:00.147',0.300
'0:00.148',0.300
'0:00.149',0.400
'0:00.150',0.800
'0:00.151',1.100
'0:00.152',1.200
'0:00.153',1.100
'0:00.154',0.500
'0:00.155',-0.300
'0:00.156',-1.000
'0:00.157',-1.400
'0:00.158',-1.300
'0:00.159',-1.100
'0:00.160',-1.000
'0:00.161',-1.300
'0:00.162',-1.900
'0:00.163',-2.500
'0:00.164',-2.300
'0:00.165',-1.200
'0:00.166',0.800
'0:00.167',3.000
'0:00.168',4.900
'0:00.169',6.200
'0:00.170',7.200
'0:00.171',8.200
'0:00.172',9.900
'0:00.173',12.500
'0:00.174',16.300
'0:00.175',21.100
'0:00.176',26.600
'0:00.177',32.300
'0:00.178',37.601
'0:00.179',41.301
'0:00.180',42.901
'0:00.181',41.801
'0:00.182',38.401
'0:00.183',33.701
'0:00.184',28.600
'0:00.185',23.800
'0:00.186',19.300
'0:00.187',14.900
'0:00.188',10.100
'0:00.189',4.700
'0:00.190',-0.700
'0:00.191',-5.500
'0:00.192',-8.700
'0:00.193',-10.100
'0:00.194',-9.800
'0:00.195',-8.400
'0:00.196',-6.600
'0:00.197',-5.100
'0:00.198',-3.900
'0:00.199',-2.800
'0:00.200',-1.400
'0:00.201',0.500
'0:00.202',2.700
'0:00.203',4.700
'0:00.204',6.300
'0:00.205',7.200
'0:00.206',7.600
'0:00.207',7.700
'0:00.208',8.000
'0:00.209',8.200
'0:00.210',8.300
'0:00.211',8.000
'0:00.212',7.300
'0:00.213',6.700
'0:00.214',6.500
'0:00.215',7.000
'0:00.216',8.100
'0:00.217',9.300
'0:00.218',10.200
'0:00.219',10.600
'0:00.220',10.600
'0:00.221',10.800
'0:00.222',11.500
'0:00.223',12.500
'0:00.224',13.600
'0:00.225',14.500
'0:00.226',14.900
'0:00.227',14.900
'0:00.228',14.800
'0:00.229',14.900
'0:00.230',15.300
'0:00.231',15.600
'0:00.232',15.600
'0:00.233',15.400
'0:00.234',14.900
'0:00.235',14.500
'0:00.236',14.400
'0:00.237',14.500
'0:00.238',14.700
'0:00.239',14.800
'0:00.240',14.600
'0:00.241',14.000
'0:00.242',13.100
'0:00.243',12.100
'0:00.244',11.200
'0:00.245',10.700
'0:00.246',10.500
'0:00.247',10.700
'0:00.248',11.000
'0:00.249',11.200
'0:00.250',11.200
'0:00.251',11.000
'0:00.252',10.600
'0:00.253',10.300
'0:00.254',10.200
'0:00.255',10.300
'0:00.256',10.500
'0:00.257',10.800
'0:00.258',11.100
'0:00.259',11.400
'0:00.260',11.800
'0:00.261',12.200
'0:00.262',12.700
'0:00.263',13.200
'0:00.264',13.400
'0:00.265',13.300
'0:00.266',12.800
'0:00.267',12.100
'0:00.268',11.500
'0:00.269',11.300
'0:00.270',11.400
'0:00.271',11.800
'0:00.272',11.900
'0:00.273',11.600
'0:00.274',10.900
'0:00.275',10.100
'0:00.276',9.400
'0:00.277',9.200
'0:00.278',9.500
'0:00.279',9.900
'0:00.280',10.200
'0:00.281',10.200
'0:00.282',9.900
'0:00.283',9.500
'0:00.284',9.100
'0:00.285',8.800
'0:00.286',8.500
'0:00.287',8.200
'0:00.288',7.900
'0:00.289',7.600
'0:00.290',7.300
'0:00.291',7.100
'0:00.292',6.700
'0:00.293',6.200
'0:00.294',5.400
'0:00.295',4.600
'0:00.296',3.800
'0:00.297',3.300
'0:00.298',3.000
'0:00.299',3.100
'0:00.300',3.400
'0:00.301',3.500
'0:00.302',3.200
'0:00.303',2.500
'0:00.304',1.400
'0:00.305',0.400
'0:00.306',-0.200
'0:00.307',-0.400
'0:00.308',-0.400
'0:00.309',-0.600
'0:00.310',-1.200
'0:00.311',-2.200
'0:00.312',-3.100
'0:00.313',-3.300
'0:00.314',-2.800
'0:00.315',-1.800
'0:00.316',-1.000
'0:00.317',-0.900
'0:00.318',-1.400
'0:00.319',-2.100
'0:00.320',-2.400
'0:00.321',-2.100
'0:00.322',-1.100
'0:00.323',0.000
'0:00.324',0.900
'0:00.325',1.300
'0:00.326',1.300
'0:00.327',1.300
'0:00.328',1.300
