'Elapsed time','Abdomen_2'
'0:00.000',13.400
'0:00.001',12.700
'0:00.002',12.100
'0:00.003',11.500
'0:00.004',10.500
'0:00.005',8.700
'0:00.006',6.100
'0:00.007',2.900
'0:00.008',-0.300
'0:00.009',-3.200
'0:00.010',-5.300
'0:00.011',-6.400
'0:00.012',-6.700
'0:00.013',-6.200
'0:00.014',-5.500
'0:00.015',-4.700
'0:00.016',-4.200
'0:00.017',-4.000
'0:00.018',-3.800
'0:00.019',-3.600
'0:00.020',-3.300
'0:00.021',-3.000
'0:00.022',-3.100
'0:00.023',-3.800
'0:00.024',-5.000
'0:00.025',-6.400
'0:00.026',-7.700
'0:00.027',-8.400
'0:00.028',-8.800
'0:00.029',-8.800
'0:00.030',-8.600
'0:00.031',-8.500
'0:00.032',-8.400
'0:00.033',-8.300
'0:00.034',-8.300
'0:00.035',-8.600
'0:00.036',-9.600
'0:00.037',-11.400
'0:00.038',-13.600
'0:00.039',-15.800
'0:00.040',-17.400
'0:00.041',-18.000
'0:00.042',-17.800
'0:00.043',-17.000
'0:00.044',-16.200
'0:00.045',-15.800
'0:00.046',-15.700
'0:00.047',-15.700
'0:00.048',-15.700
'0:00.049',-15.500
'0:00.050',-15.100
'0:00.051',-14.600
'0:00.052',-14.200
'0:00.053',-13.700
'0:00.054',-12.900
'0:00.055',-11.800
'0:00.056',-10.400
'0:00.057',-9.100
'0:00.058',-8.300
'0:00.059',-8.200
'0:00.060',-8.700
'0:00.061',-9.400
'0:00.062',-9.800
'0:00.063',-9.600
'0:00.064',-8.800
'0:00.065',-8.000
'0:00.066',-7.500
'0:00.067',-7.600
'0:00.068',-8.200
'0:00.069',-8.700
'0:00.070',-8.700
'0:00.071',-8.000
'0:00.072',-6.800
'0:00.073',-5.500
'0:00.074',-4.400
'0:00.075',-3.800
'0:00.076',-3.400
'0:00.077',-3.200
'0:00.078',-2.900
'0:00.079',-2.800
'0:00.080',-3.000
'0:00.081',-3.700
'0:00.082',-4.600
'0:00.083',-5.500
'0:00.084',-5.800
'0:00.085',-5.600
'0:00.086',-4.900
'0:00.087',-4.200
'0:00.088',-3.700
'0:00.089',-3.500
'0:00.090',-3.500
'0:00.091',-3.600
'0:00.092',-3.800
'0:00.093',-4.100
'0:00.094',-4.500
'0:00.095',-5.000
'0:00.096',-5.200
'0:00.097',-4.800
'0:00.098',-3.900
'0:00.099',-2.800
'0:00.100',-2.100
'0:00.101',-2.100
'0:00.102',-2.900
'0:00.103',-4.000
'0:00.104',-5.000
'0:00.105',-5.400
'0:00.106',-5.400
'0:00.107',-5.200
'0:00.108',-5.400
'0:00.109',-6.100
'0:00.110',-7.000
'0:00.111',-7.900
'0:00.112',-8.400
'0:00.113',-8.300
'0:00.114',-7.700
'0:00.115',-6.900
'0:00.116',-6.000
'0:00.117',-5.300
'0:00.118',-4.700
'0:00.119',-4.200
'0:00.120',-3.700
'0:00.121',-3.100
'0:00.122',-2.400
'0:00.123',-1.600
'0:00.124',-0.700
'0:00.125',0.100
'0:00.126',0.600
'0:00.127',0.400
